Name,Height,Weight,Nationality
22 B. Mensah,181,64,England
22 T. Berdayes,186,74,Switzerland
20 E. Hernández,190,73,Uruguay
P. Ndiaye,203,71,France
G. Borrelli,194,90,Italy
22 Wan Yu,183,78,China PR
22 T. Nixon,182,83,England
C. Kendall,181,71,England
22 Zhang Wenxuan,175,70,China PR
22 S. Adeniran,196,91,United States
A. George,176,72,England
22 H. Nee,180,74,England
Li Yang,186,85,China PR
22 M. Cvjetinovic,189,75,Germany
22 A. Anderson,184,74,Australia
22 Lucas Monzón,184,78,Brazil
C. Mutawe,184,60,Republic of Ireland
S. Kapuadi,193,88,France
S. Sabetkar,187,81,Sweden
V. Andersson,188,80,Sweden
L. D'Cunha,177,64,India
A. Gajgier,193,78,Poland
21 R. Andía,172,70,Peru
A. Marsh,175,65,England
22 A. Cassaert,184,74,Belgium
M. Šulek,179,65,Slovakia
22 N. Machado,186,81,Uruguay
22 R. Akbib,180,75,Belgium
E. Koyuncu,180,75,Turkey
N. Saintini,188,85,France
G. Richard,186,80,Switzerland
22 H. Holgersson,182,73,Sweden
A. Larsson,184,80,Sweden
22 D. Moss,187,84,England
21 Franklin Mascote,188,78,Brazil
22 B. Montaño,176,70,Colombia
22 M. Henry,165,57,England
21 R. Arrasco,168,63,Peru
22 M. Brasil,180,72,Uruguay
21 G. Dobrovoljc,183,79,Slovenia
22 Gui Zihan,180,75,China PR
21 B. Hough,175,65,England
21 U. Ünlü,171,73,Germany
22 L. Nikolai,178,72,Germany
22 C. Kiernan,175,62,Republic of Ireland
D. Nelik,182,74,Turkey
21 H. Hopper,175,67,England
22 Lalkhawpuimawia,175,68,India
21 A. Ajdini,179,67,Kosovo
22 A. Denholm,175,68,Scotland
21 S. Gollnack,184,78,Germany
20 N. Solabarrieta,185,82,Chile
V. Molchan,188,72,Russia
J. Mullins,162,60,Republic of Ireland
21 M. Di Rosa,178,72,United States
22 S. Fishburn,188,82,England
22 J. Anasmo,192,85,Australia
21 Huang Wenzhuo,174,68,China PR
22 D. Gomes,181,75,India
22 Roh Gyeong Ho,174,68,Korea Republic
W. Szczęsny,195,90,Poland
22 N. König,188,86,Germany
Fan Hengbo,174,70,China PR
A. Mlinaric,190,68,Australia
E. N'Jo,187,73,France
20 Lee Jong Wook,180,73,Korea Republic
21 G. Chanchamire,182,77,Venezuela
I. Gariglio,184,75,Argentina
B. Johnsplass,178,72,Norway
20 D. Barraza,181,70,Mexico
16 B. Hirst,183,76,England
E. Centeno,173,64,United States
21 M. Sipahioğlu,188,74,Turkey
22 Ren Lihao,182,77,China PR
20 Jung Sang Gyu,178,65,Korea Republic
22 A. Bredahl,182,74,Denmark
21 J. Tolinsson,190,83,Sweden
22 J. Burton,180,74,England
22 J. Vermaning,183,81,Netherlands
18 J. Boyle,168,65,England
22 Woo Byeong Chul,183,78,Korea Republic
22 R. Aimol,169,63,India
22 L. Robles,180,75,Chile
08 Joao Moreira,182,77,Portugal
T. Aksu,183,75,Turkey
22 S. Hogervorst,190,80,Netherlands
S. Lawton,176,66,England
20 B. Ortiz,175,70,Chile
21 F. Medina,179,72,Peru
22 D. Esapa Osong,183,73,England
21 A. Norén,184,80,Sweden
22 T. Rask,189,84,Sweden
A. Siddiq,167,61,Saudi Arabia
20 M. Aflaz,180,75,Turkey
21 K. Kurt,184,75,Turkey
22 E. Johnson,183,75,England
22 A. Donnelly,178,72,Northern Ireland
22 P. Awuku,194,84,Ghana
20 K. Moncrieffe,178,75,England
W. Faríñez,180,77,Venezuela
21 I. Moisa,181,73,Romania
E. Brienza,178,79,Canada
21 W. Simba,194,98,Belgium
Dinpuia,180,78,India
22 C. Celesia,183,78,Italy
22 L. Rodríguez,171,69,Uruguay
21 E. Ibrisimovic,186,76,Austria
20 A. Gouletquer,183,77,France
Unai Simón,190,89,Spain
22 D. Mondonico,193,85,Italy
J. Carluccio,178,72,Australia
K. Stokes,186,82,Australia
22 A. Wallenborg,180,71,Sweden
21 K. Hoshi,184,80,Japan
09 Chiquinho,178,75,Brazil
M. Al Khadrawi,185,74,Saudi Arabia
21 S. Sulejmani,190,86,Switzerland
20 C. Gormley,180,73,Republic of Ireland
M. Pigliacelli,184,83,Italy
21 M. Rennie,184,79,Scotland
É. Logbo,188,75,France
M. Bennett,178,66,Wales
J. Ferizaj,174,74,Republic of Ireland
21 A. Verdún,173,68,Paraguay
20 R. Hinojosa,170,70,Colombia
22 J. Clark,175,69,England
22 Lan Jingxuan,175,65,China PR
H. O'Brien,192,84,Republic of Ireland
21 M. Lennon,193,73,England
J. Guasone,192,94,Argentina
22 J. Assi,178,74,Côte d'Ivoire
21 A. Villalba,180,76,Paraguay
22 L. Lis,173,64,Romania
21 S. Olszewski,177,66,Poland
21 W. Preuss,187,76,Poland
21 J. Quintana,176,75,Uruguay
22 K. Kundaikar,182,76,India
20 J. Scott,182,80,Colombia
T. Vaclík,188,85,Czech Republic
R. Baniya,192,84,Italy
P. Shrivas,180,73,India
20 O. Montaño,176,71,Colombia
J. Taylor,182,78,England
L. Bayere Junior,185,76,Côte d'Ivoire
Kepa,186,88,Spain
21 R. Wilson,183,76,England
22 M. Conway,177,70,England
21 Eo Jeong Won,175,68,Korea Republic
21 K. Mulvey,175,72,England
E. Jones,183,70,Wales
22 C. Dundas,188,88,England
22 J. Segura Bonilla,176,71,Sweden
21 O. Çötür,190,77,Turkey
F. Smand,185,80,Netherlands
M. Townsend-West,182,75,England
18 K. Waddell,183,71,Scotland
21 F. Saglam,181,75,Liechtenstein
21 A. Timmerman,192,80,Netherlands
21 R. Menacho,185,75,Peru
22 J. Fjeldberg,178,75,Norway
22 L. Ayina,182,70,France
D. Lyngdoh,172,68,India
Zhang Jiansheng,175,66,China PR
A. Florescu,180,65,Romania
M. De Jesus Sousa,176,73,Switzerland
21 L. Miguel,183,75,Netherlands
21 A. Quirós,174,72,Argentina
22 S. Lille-Løvø,178,73,Norway
Jeon Sung Soo,185,80,Korea Republic
21 R. Duarte,175,71,Paraguay
22 P. Komposch,187,78,Austria
21 Iván López,193,82,Spain
22 T. Turner,170,60,Republic of Ireland
L. Meyer,182,73,Switzerland
G. Aceto,190,88,Italy
21 J. Wynne,183,65,Republic of Ireland
21 B. Webb,188,79,England
M. Hippe,194,81,Germany
E. Bartlow,183,77,United States
J. Gbode,180,71,England
M. Chothe,165,58,India
20 C. Gandara,181,77,Mexico
22 A. Nastos,182,78,Greece
21 H. Watanabe,186,80,Japan
M. Singh,178,75,India
Y. Güreler,187,83,Turkey
21 P. Rothrock,175,70,United States
Jang Jae Woong,179,70,Korea Republic
22 Nihat Nihmat,184,75,China PR
22 P. Pinto,188,78,Italy
A. Pătlăgică,178,70,Romania
21 C. Painter,178,69,England
Park Yong Hui,180,74,Korea Republic
21 A. García,173,67,Mexico
22 G. Pereira,180,70,Uruguay
20 Kim Yeong Han,179,66,Korea Republic
P. Gulácsi,191,86,Hungary
J. Lutostański,175,65,Poland
S. Kalaj,193,80,Albania
21 J. Aquino,172,65,Paraguay
Y. Salech,195,83,Denmark
21 J. Modig,180,78,Sweden
S. Mignolet,193,87,Belgium
21 P. Malumandsoko,184,78,France
22 S. Cissé,190,80,Senegal
22 N. Nanni,188,88,San Marino
21 A. Taranis,180,75,Denmark
B. Halsey,175,68,United States
15 T. Hildebrand,186,80,Germany
22 S. Swinkels,190,78,Netherlands
21 D. Bashlay,183,76,Ukraine
22 J. Roddy,178,69,England
A. Freeman,188,78,United States
21 B. Williamson,179,70,Scotland
22 H. Beadle,185,76,England
Wen Da,186,80,China PR
20 S. Piazza,179,76,Switzerland
A. Rossi,195,95,Argentina
J. Ciućka,182,74,Poland
22 A. Demouchy,186,77,France
T. Al Mutairi,174,70,Saudi Arabia
22 S. Matsumura,184,75,Japan
22 K. Singh,169,67,India
B. Cybulski,196,87,Poland
22 J. Greene,178,68,United States
21 G. Stanger,191,80,New Zealand
21 M. Thiel,187,75,Belgium
T. Campbell,172,65,England
D. Durivaux,178,69,France
22 Yoon Min Ho,171,63,Korea Republic
C. Maxim,175,70,Romania
22 G. Bora,184,72,India
K. Rad,185,74,United States
22 B. Holmes,183,76,England
L. Willen,187,76,Belgium
K. Craig,183,79,England
20 N. Wetz,182,81,Switzerland
21 M. McFarlane,170,65,Scotland
20 F. Macnab,184,72,England
B. Hockenhull,186,77,England
22 L. Badley-Morgan,186,79,England
N. Djorić,192,83,Serbia
M. Doda,180,78,Albania
21 T. Armitage,171,70,England
O. Wolff,175,66,United States
N. Moos,179,72,Germany
16 S. Çetin,191,84,Turkey
K. Casteels,197,86,Belgium
E. Dueñas,163,54,Mexico
Zhang Jinliang,184,77,China PR
22 V. Míka,189,87,Czech Republic
21 J. Vanhulle,177,72,Belgium
21 M. Flores,174,68,Bolivia
H. Van Crombrugge,187,86,Belgium
22 Hu Jiajin,175,65,China PR
B. Smales-Braithwaite,185,75,England
20 S. Palmucci,172,67,Italy
22 L. Forsberg,176,67,Sweden
A. Chilili,183,70,Romania
B. Ghalidi,174,66,Belgium
20 Casillas,185,84,Spain
20 Jung Chang Yong,174,69,Korea Republic
S. Akanbi,185,78,England
H. Al Slais,183,81,Saudi Arabia
22 Kim Ju Sung,177,74,Korea Republic
08 S. Baumgart,178,77,Germany
S. González,192,87,Chile
21 G. Helling,178,70,Norway
F. Giraudo,182,85,Italy
20 A. Chukwu,191,79,Nigeria
22 Papuia,182,75,India
20 J. West,180,70,England
22 J. Majsterek,187,80,Poland
M. Dmitrović,194,94,Serbia
20 E. Teggart,177,60,Northern Ireland
21 K. Tøsse,175,75,Norway
22 S. Inoue,187,80,Japan
20 H. Jenset,184,75,Norway
21 J. Hope,178,75,England
22 S. Mizoguchi,174,66,Japan
T. Williams,191,77,United States
21 Ö. Tatlısu,185,80,Turkey
22 K. Lopata,192,82,Poland
D. Henderson,188,85,England
21 M. Mert,180,77,Turkey
20 F. Çetinkaya,188,80,Turkey
22 Zhang Hongjiang,179,74,China PR
21 Y. Langesberg,191,87,Germany
22 K. Mori,185,80,Japan
S. Al Muwallad,176,72,Saudi Arabia
21 F. Seidel,160,48,Germany
14 F. Dauda,180,75,Ghana
22 M. Voss,183,68,Denmark
Lucas Mantela,183,77,Brazil
J. Ragen,198,91,United States
20 T. Daverveld,182,75,Netherlands
L. Carlstrand,184,79,Sweden
21 Lee Ki Woon,191,80,Korea Republic
N. Eile,195,83,Sweden
Álex Remiro,192,79,Spain
22 A. Hunziker,190,83,Switzerland
21 Lee Hyung Kyeong,194,85,Korea Republic
J. Muir,183,75,Australia
21 Z. Al Oyouni,174,69,England
21 A. Velagić,189,86,Germany
22 Choi Jae Hyuk,174,65,Korea Republic
22 L. Buhanga,188,75,France
22 Sun Xipeng,190,82,China PR
K. Lepczyński,191,80,Poland
Diogo Monteiro,184,73,Portugal
22 Zhu Jiaxuan,185,70,China PR
08 Marcelo,187,80,Brazil
J. Makengo,190,76,France
22 G. Khosla,172,62,India
22 Y. Ulaş,180,72,Turkey
S. Ottiger,182,82,Switzerland
21 B. Hughes,178,71,England
20 D. Di Francesco,173,70,Italy
22 R. Denuit,184,78,Belgium
22 A. Halder,177,63,India
21 T. Christiansen,185,80,Denmark
D. Moreno,175,72,Chile
21 J. Vadstrup,175,75,Denmark
J. Ngouabi,197,83,France
22 Lee Seok Gyu,175,70,Korea Republic
22 S. Kerrigan,174,68,Republic of Ireland
21 B. Calderon,190,83,Bolivia
21 D. Longe-King,193,86,England
21 T. Muharemovic,187,75,Slovenia
L. King,185,75,Scotland
22 A. Chetri,169,61,India
22 A. Edathodika,180,78,India
S. McClelland,191,79,Northern Ireland
K. Ferguson,195,80,Scotland
L. Bell,178,77,England
J. Hart,196,91,England
22 F. Arthur,187,80,Germany
22 K. Phillips,175,69,England
21 L. Ørneborg,170,66,Denmark
21 L. Wilson,175,70,England
A. Khan,171,55,India
K. Keller,187,82,United States
22 Fu Hao,180,70,China PR
21 M. Marleku,185,81,Kosovo
22 S. Shirodkar,175,70,India
21 A. González,178,79,Venezuela
S. Al Mousa,182,75,Saudi Arabia
20 O. Tkachuk,185,75,Ukraine
22 J. Trillo,172,65,Venezuela
A. D'Silva,185,80,India
P. Hammer,183,76,Switzerland
22 Chu Sang Hun,170,67,Korea Republic
C. Rowe,192,86,England
21 K. Suwama,183,76,Japan
22 Hong Seok Hwan,180,71,Korea Republic
21 K. Rogoziński,179,73,Poland
I. Drapiński,183,78,Poland
21 B. Bautista,171,67,Uruguay
D. Hafstad,185,78,Norway
21 S. Núñez,175,73,Uruguay
21 S. Kimura,186,80,Japan
22 M. O'Brien,176,71,Republic of Ireland
22 Kim Joo Hwan,176,71,Korea Republic
E. Mayenda,180,75,Spain
22 Fang Xinfeng,189,79,China PR
O. Awadh,170,70,Saudi Arabia
Du Zhixuan,188,70,China PR
22 K. Xamixidin,171,65,China PR
22 J. Sivi,180,71,England
20 David Humanes,188,77,Spain
22 C. Evans,182,78,Wales
20 Mirambel,183,77,Spain
D. Kanu,180,65,England
21 S. Slaven,190,70,Scotland
20 A. Coronel,183,73,Argentina
F. Armani,189,88,Argentina
21 E. Kaşcıoğlu,182,75,Turkey
J. Haist,188,83,England
21 A. Şahindere,184,72,Turkey
E. Aarflot,186,75,Norway
22 S. El Baset,188,77,Finland
21 F. Panjeskovic,188,80,Denmark
N. Wiesinger,193,80,Austria
E. Uzunhan,189,72,Turkey
Pacheco,186,81,Spain
22 M. Sibyani,189,84,Saudi Arabia
H. Røsten,192,82,Norway
20 J. Wilczyński,185,76,Poland
C. Erciyas,178,75,Turkey
V. Ciriello,185,75,Italy
22 D. Dodds,185,77,England
R. Pasveer,187,88,Netherlands
20 J. O'Brien,183,75,England
22 D. Gifford,178,70,England
21 J. Ferrufino,175,70,Bolivia
J. Morris,187,80,United States
20 J. Quiñónez,192,75,Ecuador
22 K. Ichimori,180,79,Japan
21 I. Mihaljević,191,79,Croatia
A. Ghasem,180,73,Iraq
G. Dănuleasă,187,83,Romania
22 Xie Jie,179,70,China PR
22 R. Yamahara,164,65,Japan
22 K. Moore,185,78,England
T. Walczak,191,88,Poland
21 F. Pedersen,180,75,Norway
Yang Dejiang,175,60,China PR
22 N. Milleskog,179,70,Sweden
22 Muhmet Nebijan,180,72,China PR
22 F. Maya,179,73,Uruguay
S. Bain,183,84,Scotland
Aitor,182,78,Spain
21 T. Bała,193,87,Poland
S. Romero,192,86,Argentina
22 M. Dietz,188,76,United States
20 D. Vega,174,72,Colombia
22 O. Provstgaard,192,84,Denmark
22 T. Kato,180,84,Japan
C. Ezekwem,202,88,Germany
Z. Silini,184,81,Algeria
21 N. Orozco,175,70,Bolivia
22 M. Harris,182,70,Republic of Ireland
I. García,181,71,Uruguay
M. Crépeau,180,88,Canada
22 Heo Dong Ho,181,75,Korea Republic
N. Pope,199,76,England
21 J. van der Avert,185,80,Netherlands
Chen Yuhao,175,68,China PR
22 Park Seong Hun,183,72,Korea Republic
O. Ågren,191,82,Sweden
M. Boukamir,185,78,Morocco
20 V. Çetin,193,75,Turkey
A. Moris,186,79,Luxembourg
Kwon Seong Yoon,176,69,Korea Republic
21 H. Crosthwaite,175,70,Germany
N. Logue,178,72,Republic of Ireland
09 A. Fontana,185,73,Italy
22 J. Conway,187,79,United States
H. McCarthy,168,65,Australia
22 T. Costello,177,75,England
M. Rabuel,180,73,France
E. Essel,183,74,England
20 S. Contreras,178,70,Chile
R. Jones,196,89,Scotland
A. Makki,179,75,Saudi Arabia
H. Al Najai,171,60,Saudi Arabia
20 O. Sundgot,180,77,Norway
R. Correia,181,75,Switzerland
21 L. Ribeiro,170,64,Uruguay
J. Gorter,190,81,Netherlands
22 C. Gbadebo,192,68,England
A. Al Yousef,174,68,Saudi Arabia
22 D. Bremang,186,80,England
M. Singh,180,73,India
22 E. Kwelele,177,74,Republic of Ireland
21 A. Voinescu,179,77,Romania
22 T. Butoiu,180,70,Romania
22 H. Ransom,182,70,England
Zhao Jianbo,180,72,China PR
N. De Queiroz,182,77,Switzerland
22 E. Bange,192,83,England
K. Santos,178,72,United States
22 H. Jones,178,68,Wales
22 H. Bility,190,87,Australia
S. Lagerlund,186,76,Sweden
K. Costinha,180,67,Portugal
22 Kim Joo Hyeong,183,75,Korea Republic
22 S. Hammershaug,183,75,Norway
F. Irorere,195,80,Germany
20 P. Hocker,180,65,Germany
22 L. Schröder,187,79,Germany
22 F. Terry,183,73,England
21 C. Aguirre,173,72,Chile
21 J. Ferreira,177,69,Uruguay
22 G. Nigam,171,66,India
22 D. van der Haar,183,76,Netherlands
21 R. Nguen,176,69,Norway
A. Quinn,188,76,Republic of Ireland
22 Park Chae Joon,175,66,Korea Republic
J. Golding,188,75,Republic of Ireland
22 Yi Xianlong,171,68,China PR
C. Ravych,187,71,Belgium
A. Al Sultan,180,72,Saudi Arabia
21 M. Medel,182,74,Chile
21 D. Lupano,193,82,Belgium
21 W. Delvin,165,55,Denmark
21 A. Stanley,172,75,England
09 D. Rodríguez,176,72,Uruguay
Cho Jae Hun,178,65,Korea Republic
22 Y. Someya,184,79,Japan
A. Buttaro,183,80,Italy
20 J. Suárez,180,75,Colombia
J. Niemczyk,181,72,Poland
I. Rodríguez,188,82,Uruguay
21 D. Dietze,195,83,Paraguay
F. Eriksson,177,73,Sweden
21 C. Shanks,179,69,England
M. Svilar,189,83,Serbia
I. Andres,193,73,Romania
R. Delvalle,180,82,Paraguay
22 L. Sprekelmeyer,186,78,Germany
D. Grujcic,188,85,Austria
22 Kwon Seok Joo,178,63,Korea Republic
R. Castellanos,188,82,United States
22 Song Bowei,183,74,China PR
22 J. McGrath,185,75,Republic of Ireland
22 A. Yoshida,184,73,Japan
22 C. Moisie,188,79,Romania
W. Benítez,191,93,Argentina
21 N. Kotin,189,75,Russia
Lee Ji Yong,175,67,Korea Republic
F. Odhiambo,190,80,Kenya
J. Hall,188,82,England
O. Denham,182,71,Wales
D. Markovic,173,70,Australia
20 D. Zator,188,82,Canada
22 A. Bdeir,175,70,Sweden
20 J. Kranthove,192,80,Netherlands
22 A. Endresen,183,75,Norway
V. Zumberi,188,80,Kosovo
21 J. Foulkes,186,72,England
20 Seok Sang Beom,177,66,Korea Republic
A. Lomax,178,69,England
D. Elerewe,189,68,England
R. Cota,183,86,Mexico
22 L. Oki,183,65,Republic of Ireland
21 D. Thompson,176,65,England
21 F. Seferaj,182,74,Switzerland
B. Peacock-Farrell,192,74,Northern Ireland
Woo Min Geol,176,69,Korea Republic
Yuan Mincheng,186,84,China PR
22 H. Ghandour,179,78,Lebanon
P. Pentz,182,81,Austria
22 S. Terasaka,182,72,Japan
N. Tsakiris,178,70,United States
21 M. Persson,175,65,Sweden
J. McLaughlin,188,83,Scotland
21 Yang Lichun,179,75,China PR
David Soria,192,85,Spain
N. Toggenburger,180,73,Switzerland
A. Aremeyaw,190,84,Ghana
S. Mandanda,185,82,France
A. Abdulraouf,165,55,Saudi Arabia
L. Harvey,178,70,Scotland
21 A. Ugelvik,187,82,Norway
M. Chakladar,180,74,India
I. Arslan,186,76,Turkey
21 J. Pereira,185,67,Ecuador
21 A. Morales,176,77,Uruguay
N. Blair,180,70,Australia
17 M. Wilson,175,70,England
22 Ł. Seweryn,179,74,Poland
22 Park Sung Hyun,180,75,Korea Republic
Mao Kaiyu,183,80,China PR
21 R. Winsington,191,88,England
A. Kasumovic,185,79,Australia
N. Rabha,176,66,India
K. Okoniewski,185,70,Poland
22 E. Andrada,194,80,Argentina
20 M. Ndir,185,75,Senegal
22 F. Al Suyayfi,179,68,Saudi Arabia
Z. Guinan,185,80,England
21 N. Díaz García,175,70,Chile
21 H. Al Fadid,170,68,Saudi Arabia
22 D. Tsekenis,183,75,Australia
21 R. Romeo,193,84,Canada
21 Sun Zixuan,175,75,China PR
22 Sun Qinhan,178,72,China PR
21 K. Iodice,183,75,Switzerland
21 M. Mazzolini,181,75,France
B. Redžić,178,72,United States
21 M. Steenberg,192,80,Denmark
22 S. Denham,180,70,Scotland
22 B. Lynch,173,70,Republic of Ireland
22 J. Lee,171,62,Republic of Ireland
22 H. Ishola,172,66,England
21 E. Johnston,180,73,England
22 A. Miutescu,176,65,Romania
M. Baaloudj,183,80,Algeria
J. Feeney,194,82,England
Y. Fawaz,166,60,Saudi Arabia
22 N. Zielonka,184,72,Poland
21 Chen Jiayu,178,70,China PR
Sivera,184,75,Spain
22 B. Pursall,182,80,England
M. Maglica,198,99,Croatia
J. Bramwell,191,86,England
A. Armour,178,74,United States
21 C. Dunne,179,80,Scotland
M. Günok,196,92,Turkey
Y. Mvogo,189,93,Switzerland
22 L. Adekoya,180,66,England
22 I. Larsson,182,75,Sweden
N. Botić,183,74,Australia
20 B. Carabalí,183,80,Colombia
22 Park Geon Woo,171,70,Korea Republic
21 J. Persson,183,69,Sweden
21 S. Uzcátegui,177,66,Venezuela
22 K. Kudo,180,72,Japan
21 H. Steinseide,183,75,Norway
22 J. McGlynn,180,70,Scotland
T. Augustinus-Jensen,177,70,Denmark
H. Singh,168,60,India
T. Kristiansen,175,70,Norway
21 J. Lindahl,169,65,Sweden
A. Paulsen,193,80,New Zealand
22 K. Kandola,177,67,England
22 J. Bayliss,175,72,Australia
20 D. Brown-Sterling,183,75,England
C. Schmidt,189,80,Germany
Liang Guoqiao,175,73,China PR
K. Al Absi,171,63,Saudi Arabia
B. Curtis,183,73,Republic of Ireland
L. Jaquez,188,79,Switzerland
22 O. Tomlinson,186,73,England
F. Yılmaz,186,75,Turkey
22 L. Noian,180,70,Romania
22 N. Baxevanos,187,85,Greece
22 R. Sailor,193,81,United States
F. De Carvalho,176,71,Switzerland
22 J. Dunne,185,76,England
22 Choi Ki Yoon,175,70,Korea Republic
A. Busch,190,75,Denmark
P. Czerech,190,78,Poland
22 O. Al Othman,167,61,Saudi Arabia
22 T. Dyce,183,80,England
21 D. Tălmaciu,181,64,Romania
T. Geris,175,68,Austria
22 H. Mbuyi-Muamba,190,93,France
20 Y. Ceesay,180,65,Spain
O. Olsson,189,80,Denmark
20 E. Cardona,170,70,Colombia
09 Fábio Paim,176,66,Portugal
21 G. Bucci,182,74,England
K. O'Toole,178,75,United States
21 N. Zivkovic,174,70,Switzerland
21 J. Gut,175,67,Poland
22 Kim Tae Hyun,180,75,Korea Republic
21 E. Hernández,183,85,Argentina
M. Traore,182,68,Senegal
M. Stjopin,178,65,Finland
22 M. Frederiksen,180,72,Denmark
22 T. Loridan,185,73,France
22 R. Voisine,192,82,France
22 L. Škaričić,190,80,Croatia
22 A. Lloyd,180,70,England
22 K. Miura,177,72,Japan
22 B. Kaninda,188,87,England
21 Kang Yeong Woong,177,74,Korea Republic
22 J. Gratton,178,70,England
22 R. De Poorter,180,70,Belgium
O. Baumann,187,82,Germany
N. Dahlström,193,87,Sweden
20 Park Chea Hwa,182,75,Korea Republic
S. Thangmuansang,174,70,India
Cláudio Ramos,183,83,Portugal
David Alba,188,77,Spain
22 S. Araki,169,64,Japan
21 U. Kargbo,186,73,Republic of Ireland
N. Triantis,191,78,Australia
N. Carrera,193,75,United States
H. Küng,186,80,Austria
K. Darlow,190,88,England
S. Handanovič,193,92,Slovenia
G. Ochoa,185,78,Mexico
G. Singh,181,76,India
N. Haikin,185,68,Russia
M. Rodríguez,175,73,United States
T. Sako,185,78,France
21 L. Fernandez,193,74,England
B. Faulkner,180,70,England
Héniton Pires,182,74,Brazil
Liao Jiajun,174,60,China PR
22 T. Hewlett,175,70,England
20 Ņ. Koļesovs,194,88,Latvia
22 D. Janevski,187,82,Sweden
22 Yang Yu min,181,70,Korea Republic
10 G. Cid,188,78,France
22 K. Mogg,180,80,England
20 Kim Min Seok,187,80,Korea Republic
21 C. Barnes,184,80,England
21 L. Maus,194,79,Belgium
20 G. Harding,175,70,Chile
L. Rudden,173,66,Republic of Ireland
22 M. Ram,191,84,England
22 M. Ezmat,175,71,China PR
C. Wagner,186,77,Denmark
22 A. Majok,182,70,South Sudan
22 A. Obhakhan,185,75,Republic of Ireland
C. Heaney,178,67,Republic of Ireland
22 H. Hagan,185,75,England
21 Y. Nicolaou,175,80,Australia
L. Kjerrumgaard,179,65,Denmark
Cao Xiaoyi,174,72,China PR
22 H. Jessop,184,78,England
07 J. O'Brien,175,75,United States
21 G. Johansson,183,73,Sweden
22 Yi Wenjun,177,73,China PR
21 J. Timlin,172,79,England
T. Ikoba,193,89,United States
22 Z. Johnson,175,78,England
Y. Bounou,192,78,Morocco
09 Bernardi,186,77,Brazil
22 Soares,186,84,Guinea Bissau
21 C. Fleming,181,78,Republic of Ireland
22 C. Clayden,173,67,England
G. Cowmeadow,185,70,Wales
22 J. Ridley,173,66,England
B. Mruk,184,75,Poland
F. Delli Carri,191,80,Italy
22 J. Jensen-Abbew,187,80,Denmark
22 Hwang In Taek,182,74,Korea Republic
22 S. Obissa,190,86,Gabon
21 J. Bolton,173,70,England
N. Cissé,188,79,Mali
22 L. Clément,191,82,Switzerland
C. McLaughlin,175,70,Republic of Ireland
22 Y. Agnero,184,75,Côte d'Ivoire
V. Schwab,191,73,Germany
Li Junfeng,175,68,China PR
22 Jiang Zhixin,176,78,China PR
15 S. Frey,190,90,France
M. Boudiaf,180,70,Republic of Ireland
22 M. Ceïde,181,74,Norway
J. Makama,185,73,England
22 T. Ndao,186,81,Japan
22 J. Mathews,175,70,India
20 Kim Hyeong Won,187,77,Korea Republic
22 Lee Ji Woo,175,68,Korea Republic
22 V. Mannone,189,77,Italy
22 H. Hughes,180,70,England
D. Bertaud,180,85,France
22 A. Melniciuc,177,71,Romania
W. Richmond,178,77,United States
21 Deng Haotian,183,72,China PR
21 J. Gillekens,187,78,Belgium
A. Lafont,196,90,France
C. Finch,182,87,Chile
E. Room,188,81,Curacao
F. Valencia,175,63,United States
21 I. Udebhu-Osimeh,170,70,England
22 Ahn Chang Min,189,81,Korea Republic
A. Nygaard,185,71,Sweden
22 Zhang Xingliang,173,66,China PR
O. Vlachodimos,190,81,Greece
21 H. Maïga,197,92,Mali
09 Luiz Henrique,176,73,Brazil
22 Bai Xuesong,180,75,China PR
G. Kirejczyk,197,81,Poland
G. Buffon,192,92,Italy
21 S. Karaduman,182,79,Turkey
20 A. Ortiz,182,77,Chile
22 Su Yuliang,182,65,China PR
22 H. Baker,170,68,England
M. Jobe,185,77,England
M. Sportiello,192,87,Italy
22 Kim Dae Hwan,172,67,Korea Republic
22 P. Ferry,179,73,Northern Ireland
H. Greenslade,185,75,England
R. Austin,192,83,Wales
22 J. Wilkie,188,66,Scotland
22 Park Sang Myeong,171,69,Korea Republic
22 S. De Marco,175,62,Uruguay
20 Lee Yeon Kyu,183,74,Korea Republic
21 Liu Ziming,188,81,China PR
08 G. Fofana,170,72,Côte d'Ivoire
21 C. McBride,177,66,Republic of Ireland
21 S. Nishikawa,174,70,Japan
22 R. Gallagher,180,74,Republic of Ireland
22 Zhu Yue,185,72,China PR
Wang Dongsheng,179,67,China PR
Wang Shijie,170,58,China PR
J. Turra,180,75,Chile
21 R. Hernández,187,75,Uruguay
22 B. Mæland,184,75,Norway
A. Zagré,187,79,Burkina Faso
J. George,186,85,India
22 L. Holzman,186,76,England
J. Russell-Rowe,183,73,Canada
22 Y. Karademir,185,76,Germany
22 S. Ilic,187,83,Germany
T. Heaton,188,85,England
21 Park Kyung Min,173,60,Korea Republic
S. Jones-Carey,184,75,Republic of Ireland
Robert Sánchez,197,85,Spain
F. Agüero,189,86,Argentina
22 D. Sawhney,179,70,India
22 B. Ganesan,162,52,India
Z. Bello,182,74,Australia
21 M. Colossi,179,68,Chile
K. Offord,175,70,Scotland
22 B. Foster,193,90,England
21 J. Robertson,173,64,Scotland
22 I. Bakare,188,81,England
22 F. Manneh,183,74,Gambia
R. Mahon,178,64,Republic of Ireland
22 B. Blythe,185,85,England
22 O. Kennedy,175,70,Republic of Ireland
